4,-,0,Inside3,"Untitled, 2014"
4,-,0,Inside4,"Untitled, 2014"
4,-,0,Inside5,"Untitled, 2014"
4,-,0,Inside6,"Untitled, 2014"
-,z,0,interior,"Interior, 2009"
-,-,0,JRDAPE002,""
-,-,0,JRDAPE02,""
-,-,0,JRDRAPE,"Chocolate Box"
-,-,0,JRDrape-6,""
-,-,0,JRDRAPE001,"Road"
-,-,0,JRDrape_one,""
-,-,0,JRDrape_three,""
-,-,0,knife,"Knife & Fork"
-,-,0,laith5,""
-,-,0,legs,""
-,z,0,img_5066,"Handrail, 2012"
-,z,0,Man-With-Bike,"Man with Bike, 2010"
-,-,0,Manwithbike_new,""
-,-,0,Men-Rounding-Corner,""
-,-,0,MenwithTelevision,"Men with Television, 2010"
-,-,0,MileEnd,"MileEnd"
-,-,0,Model,""
-,-,0,Moon,"Moon"
-,-,0,newcar1,"BG Car"
-,-,0,rail,"Rail"
-,z,0,richard2,"Richard in the studio, 2010"
-,-,0,Screen-1,""
-,z,0,Secondary-225,"Three Bikes, 2013"
-,-,0,shop,"Shop"
-,-,0,SohoDrinks,"SohoDrinks"
-,-,0,Split,""
-,-,0,SplitStairs,""
-,-,0,Splitstairs1,"Split"
-,-,0,Theconcierge,""
-,-,0,towels,"Towels"
-,-,0,Triptych2,"Triptych"
-,-,0,Twice,"Double"
-,-,0,Untitled,""
-,-,0,VandA,"V&A"
-,-,0,w57_sleepingdog,""
-,-,0,Windows,"Windows"
-,-,0,Corner,"Corner"
-,-,0,Crystalpalace,"CP"
-,-,0,DD_52,"Fruit, 2014"
-,-,0,DD_53,""
-,-,0,DD_56,"Spitalfields, 2014"
-,-,0,img_3923,"Canberra Blossom"
